,Player,Tm,Age,2021 Games,2021 GS,2021 Tgt,2021 Rec,2021 RushingYds,2021 RushingTD,2021 RushingAtt,2021 ReceivingYds,2021 ReceivingTD,2021 FantasyPoints,2019 Games,2019 GS,2019 Tgt,2019 Rec,2019 RushingYds,2019 RushingTD,2019 RushingAtt,2019 ReceivingYds,2019 ReceivingTD,2019 FantasyPoints,2020 Games,2020 GS,2020 Tgt,2020 Rec,2020 RushingYds,2020 RushingTD,2020 RushingAtt,2020 ReceivingYds,2020 ReceivingTD,2020 FantasyPoints,Usage19,Touchdowns19,TotYdsScrm19,Production19,Usage20,Touchdowns20,TotYdsScrm20,Production20,Usage21,Touchdowns21,TotYdsScrm21,Production21,Average Total Usage,Average Total Yards,Average Total Production
146,KeeSean Johnson,ARI,23.0,10.0,4.0,42.0,21.0,3.0,0.0,1.0,187.0,1.0,44.0,8,1,23.0,15.0,0.0,0.0,0.0,173.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,173.0,36.421052631578945,0.0,0.0,0.0,0.0,6.3,1.0,190.0,30.31746031746032,3.6833333333333336,121.0,22.246170983013087
147,Jeff Smith,NYJ,22.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,12.0,0.0,2.2,12,4,37.0,17.0,0.0,0.0,0.0,167.0,0.0,17.0,12.0,3.0,17.0,8.0,-1.0,0.0,1.0,113.0,0.0,11.0,4.5,0.0,167.0,37.111111111111114,2.0833333333333335,0.0,112.0,53.76,3.0,0.0,12.0,4.0,3.1944444444444446,97.0,31.6237037037037
148,Mike Thomas,LAR,25.0,16.0,0.0,5.0,2.0,0.0,0.0,0.0,14.0,0.0,3.4,14,0,21.0,13.0,1.0,0.0,1.0,132.0,1.0,17.0,12.0,1.0,11.0,5.0,0.0,0.0,0.0,52.0,0.0,5.0,2.4285714285714284,1.0,133.0,55.1764705882353,1.3333333333333333,0.0,52.0,39.0,0.4375,0.0,14.0,32.0,1.3998015873015872,66.33333333333333,42.05882352941177
149,Laquon Treadwell,MIN,24.0,13.0,1.0,16.0,9.0,0.0,0.0,0.0,184.0,1.0,33.4,5,0,7.0,6.0,0.0,0.0,0.0,49.0,2.0,17.0,12.0,7.0,51.0,33.0,0.0,0.0,0.0,434.0,1.0,49.0,2.6,2.0,49.0,19.615384615384613,7.0,1.0,434.0,62.142857142857146,1.9230769230769231,1.0,184.0,96.2,3.841025641025641,222.33333333333334,59.31941391941391
150,Quez Watkins,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,13.0,7.0,0.0,0.0,0.0,106.0,1.0,17.0,17.0,12.0,62.0,43.0,3.0,0.0,1.0,647.0,1.0,73.0,3.3333333333333335,1.0,106.0,32.1,6.176470588235294,1.0,650.0,105.39999999999999,0.0,0.0,0.0,0.0,3.1699346405228757,252.0,45.833333333333336
151,Jamal Agnew,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,20.0,13.0,33.0,0.0,6.0,89.0,0.0,16.0,10.0,2.0,39.0,24.0,111.0,1.0,7.0,229.0,1.0,52.0,2.357142857142857,0.0,122.0,51.75757575757576,6.3,2.0,340.0,54.285714285714285,0.0,0.0,0.0,0.0,2.8857142857142857,154.0,35.34776334776335
152,Noah Brown,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1,24.0,14.0,4.0,0.0,1.0,154.0,0.0,16.0,13.0,1.0,25.0,16.0,0.0,0.0,0.0,184.0,0.0,18.0,2.375,0.0,158.0,66.52631578947368,3.1538461538461537,0.0,184.0,58.34146341463415,0.0,0.0,0.0,0.0,1.8429487179487178,114.0,41.62259306803595
153,Lee Smith,BUF,32.0,16.0,5.0,5.0,4.0,0.0,0.0,0.0,31.0,1.0,13.1,10,2,6.0,4.0,0.0,0.0,0.0,35.0,2.0,16.0,16.0,6.0,11.0,9.0,0.0,0.0,0.0,65.0,1.0,13.0,1.0,2.0,35.0,37.0,1.25,1.0,65.0,52.8,0.5625,1.0,31.0,56.888888888888886,0.9375,43.666666666666664,48.89629629629629
154,Auden Tate,CIN,22.0,12.0,10.0,80.0,40.0,0.0,0.0,0.0,575.0,1.0,101.5,9,2,22.0,14.0,0.0,0.0,0.0,150.0,0.0,15.0,7.0,0.0,4.0,3.0,0.0,0.0,0.0,39.0,1.0,10.0,4.0,0.0,150.0,37.5,1.0,1.0,39.0,40.0,10.0,1.0,575.0,57.6,5.0,254.66666666666666,45.03333333333333
155,Christian Blake,ATL,23.0,9.0,3.0,24.0,11.0,0.0,0.0,0.0,91.0,0.0,20.1,16,0,18.0,13.0,0.0,0.0,0.0,141.0,0.0,14.0,16.0,0.0,9.0,4.0,0.0,0.0,0.0,25.0,0.0,3.0,1.9375,0.0,141.0,72.7741935483871,0.8125,0.0,25.0,30.76923076923077,3.888888888888889,0.0,91.0,23.4,2.2129629629629632,85.66666666666667,42.31447477253929
156,Geoff Swaim,JAX,26.0,6.0,2.0,17.0,13.0,0.0,0.0,0.0,65.0,0.0,19.5,10,8,12.0,9.0,0.0,0.0,0.0,83.0,1.0,14.0,16.0,16.0,40.0,31.0,0.0,0.0,0.0,210.0,3.0,39.0,2.1,1.0,83.0,40.0,4.4375,3.0,210.0,48.0,5.0,0.0,65.0,13.0,3.845833333333333,119.33333333333333,33.666666666666664
157,Malik Taylor,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1,6.0,5.0,9.0,0.0,1.0,66.0,1.0,14.0,10.0,0.0,3.0,2.0,0.0,0.0,0.0,14.0,0.0,-1.0,0.7333333333333333,1.0,75.0,103.63636363636364,0.5,0.0,14.0,28.0,0.0,0.0,0.0,0.0,0.41111111111111115,29.666666666666668,43.878787878787875
158,De'Michael Harris,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,10.0,10.0,46.0,0.0,6.0,79.0,0.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.857142857142857,0.0,125.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809523809524,41.666666666666664,14.583333333333334
159,Chris Hogan,CAR,32.0,7.0,1.0,15.0,8.0,0.0,0.0,0.0,67.0,0.0,14.7,5,4,26.0,14.0,0.0,0.0,0.0,118.0,0.0,12.0,5.0,1.0,8.0,4.0,0.0,0.0,0.0,41.0,1.0,10.0,8.0,0.0,118.0,14.75,2.4,1.0,41.0,17.5,3.2857142857142856,0.0,67.0,20.391304347826086,4.561904761904763,75.33333333333333,17.547101449275363
160,Ray-Ray McCloud,CAR,23.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,16,2,22.0,20.0,65.0,0.0,4.0,77.0,0.0,12.0,16.0,5.0,66.0,39.0,15.0,0.0,2.0,277.0,0.0,27.0,2.625,0.0,142.0,54.095238095238095,6.5625,0.0,292.0,44.49523809523809,0.0,0.0,0.0,0.0,3.0625,144.66666666666666,32.86349206349206
161,Dante Pettis,SFO,24.0,11.0,4.0,24.0,11.0,0.0,0.0,0.0,109.0,2.0,34.54,7,1,6.0,4.0,0.0,0.0,0.0,76.0,1.0,12.0,3.0,0.0,16.0,10.0,0.0,0.0,0.0,87.0,1.0,15.0,1.4285714285714286,1.0,76.0,53.9,8.666666666666666,1.0,87.0,10.153846153846155,3.1818181818181817,2.0,109.0,34.885714285714286,4.425685425685425,90.66666666666667,32.97985347985348
162,Alex Erickson,CIN,27.0,16.0,6.0,78.0,43.0,33.0,0.0,5.0,529.0,0.0,96.24,16,2,17.0,12.0,7.0,0.0,5.0,139.0,0.0,11.0,17.0,0.0,4.0,3.0,0.0,0.0,0.0,55.0,0.0,6.0,1.8125,0.0,146.0,80.55172413793103,0.4117647058823529,0.0,55.0,133.57142857142858,7.5625,0.0,562.0,74.31404958677686,3.2622549019607843,254.33333333333334,96.14573409871214
