,Player,2019 FantasyPoints,2020 FantasyPoints,2021 FantasyPoints,Production21,Average Total Production,Team,POS,AVG,Prediction
41,Mike Williams,161.3,106.0,171.0,90.14634146341464,94.8464761658489,LAC,WR19,49.3,90.14634146341456
42,AJ Dillon,0.0,38.0,152.0,85.22767857142857,48.65228174603175,GB,RB25,58.8,85.22767857142851
43,Courtland Sutton,222.42,7.0,92.0,84.78205128205128,61.5894819466248,DEN,WR20,60.0,84.78205128205147
44,Jerry Jeudy,0.0,106.0,47.0,50.0,44.43232323232324,DEN,WR21,60.5,50.0
45,Damien Harris,1.2,86.0,192.0,72.37668161434978,43.37093090848696,NE,RB26,60.8,72.37668161434978
46,Brandin Cooks,117.5,151.0,142.0,76.0,80.3093567251462,HOU,WR22,62.0,74.55108057252798
47,Marquise Brown,146.4,125.0,135.0,68.79324894514768,72.7653359298929,ARI,WR23,62.5,68.79324894514774
48,Clyde Edwards-Helaire,0.0,140.0,99.0,45.91549295774648,35.68105084407152,KC,RB27,63.3,45.91549295774652
49,Dalton Schultz,1.6,84.0,131.0,76.21978021978022,57.792558318874114,DAL,TE6,64.8,76.21978021978042
50,T.J. Hockenson,80.7,108.0,84.0,48.57931034482758,55.55574081091322,DET,TE7,64.8,48.57931034482765
51,Amari Cooper,246.5,145.0,135.0,76.13372093023256,85.00116660000381,CLE,WR24,65.0,76.13372093023263
52,Chris Godwin,274.1,126.0,144.0,70.3111111111111,76.61007467928974,TB,WR26,65.5,70.31111111111112
53,Miles Sanders,216.7,142.0,91.0,64.0,70.5255586164677,PHI,RB28,70.3,64.0
54,Gabriel Davis,0.0,102.0,91.0,90.6122448979592,63.523669261519046,BUF,WR28,71.8,90.61224489795924
55,Amon-Ra St. Brown,0.0,0.0,137.0,79.63157894736841,26.543859649122805,DET,WR29,72.0,73.94641676054688
56,Adam Thielen,114.4,180.0,133.0,59.22222222222222,64.36833536833537,MIN,WR30,73.8,67.83951685587775
57,Darnell Mooney,0.0,91.0,139.0,84.0,49.97064989517819,CHI,WR31,76.0,84.0
58,JuJu Smith-Schuster,113.2,137.0,20.0,16.16279069767442,45.12013658176448,KC,WR32,78.3,16.162790697674396
59,Dallas Goedert,144.7,70.0,109.0,94.77272727272728,70.10276577517958,PHI,TE8,79.0,94.7727272727273
60,Kareem Hunt,101.4,181.0,88.0,43.04761904761905,53.42375742708108,CLE,RB29,79.8,43.04761904761916
61,Devin Singletary,147.9,106.0,158.0,79.0,71.40675566343042,BUF,RB30,80.0,79.0
62,Rashaad Penny,75.3,3.0,116.0,63.22834645669292,44.2108842255962,SEA,RB31,81.3,63.22834645669286
63,Hunter Renfrow,133.5,76.0,156.0,77.27272727272728,74.13520733652312,LV,WR33,81.3,84.03823001860292
64,Tony Pollard,87.2,93.0,124.0,90.17045454545456,80.65102398939212,DAL,RB32,84.5,90.17045454545467
65,Elijah Moore,0.0,0.0,95.0,54.81666666666667,18.272222222222226,NYJ,WR34,85.3,54.81666666666663
66,DeAndre Hopkins,266.54,173.0,105.0,54.71698113207548,69.08722086411582,ARI,WR35,85.5,54.71698113207548
67,Rashod Bateman,0.0,0.0,58.0,54.31578947368421,18.105263157894736,BAL,WR36,86.5,54.31578947368417
68,Cordarrelle Patterson,29.6,48.0,183.0,84.82882882882883,79.32540604054152,ATL,RB33,87.0,98.28764165974812
69,Chase Edmonds,82.8,115.0,100.0,64.2603550295858,71.31964659773708,MIA,RB35,89.0,64.92954537543874
70,DeVonta Smith,0.0,0.0,122.0,93.19642857142856,31.06547619047619,PHI,WR37,90.5,77.40343341601385
71,Dawson Knox,79.7,43.0,115.0,75.0,67.6945701357466,BUF,TE9,90.5,75.0
72,Zach Ertz,213.6,42.0,107.0,70.55913978494624,55.59976640896647,ARI,TE10,97.0,70.44037758431037
73,Rhamondre Stevenson,0.0,0.0,101.0,58.33112582781457,19.44370860927152,NE,RB37,97.5,67.35802705572186
74,Tyler Lockett,235.2,165.0,168.0,105.95555555555556,89.22273307790549,SEA,WR38,98.8,105.95555555555563
75,Brandon Aiyuk,0.0,125.0,114.0,102.97142857142858,55.65714285714287,SF,WR39,98.8,77.56417744833543
76,Robert Woods,232.9,155.0,92.0,47.92105263157895,70.07400789965182,TEN,WR40,105.3,50.66054263268064
77,Michael Carter,0.0,0.0,118.0,67.08910891089108,22.363036303630363,NYJ,RB38,108.5,65.08953101925033
78,Allen Lazard,102.8,65.0,103.0,82.95,78.2360613996799,GB,WR42,110.8,80.02604894132577
79,James Robinson,0.0,201.0,143.0,66.46666666666667,44.30666666666667,JAC,RB40,111.8,57.76801208935408
80,Christian Kirk,166.2,98.0,131.0,94.25555555555556,74.38820057530687,JAC,WR43,112.8,94.25555555555549
81,Mike Gesicki,136.0,106.0,92.0,71.85945945945946,71.5463208550165,MIA,TE11,113.5,71.85945945945963
82,Russell Gage,98.8,109.0,97.0,67.725,66.0207171091048,TB,WR44,113.8,68.45469817979013
83,Ronald Jones II,0.0,158.0,69.0,69.6140350877193,46.15909431698905,KC,RB41,114.0,69.6140350877194
84,Alexander Mattison,68.4,74.0,94.0,66.86705202312139,65.31526680478993,MIN,RB42,115.3,82.89932311814171
85,Chase Claypool,0.0,153.0,108.0,87.6219512195122,57.27749251176723,PIT,WR45,116.0,87.62195121951216
86,Kadarius Toney,0.0,0.0,43.0,44.375,14.791666666666666,NYG,WR46,121.8,50.55347636707641
87,Pat Freiermuth,0.0,0.0,92.0,58.01438848920864,19.33812949640288,PIT,TE12,122.0,58.01438848920862
88,Nyheim Hines,105.9,130.0,73.0,88.61061946902655,82.88636810583714,IND,RB46,132.3,88.61061946902655
89,Tyler Boyd,222.9,114.0,117.0,84.96894409937889,76.04100190800958,CIN,WR50,139.5,84.96894409937887
90,Raheem Mostert,165.2,84.0,2.0,10.0,50.34422457432121,MIA,RB47,141.0,37.760364921504866
91,Jarvis Landry,237.4,116.0,81.0,53.00719424460432,71.06909439100565,NO,WR51,141.3,53.00719424460441
92,Marquez Valdes-Scantling,84.1,104.0,61.0,58.80246913580247,89.10353307236777,KC,WR52,141.8,58.802469135802376
93,J.D. McKissic,83.8,111.0,85.0,66.76237623762377,77.6951510535669,WAS,RB49,144.5,70.40531950148474
